CHAR,NAME
あ,a
い,i
う,u
え,e
お,o
か,ka
が,ga
き,ki
ぎ,gi
く,ku
ぐ,gu
け,ke
げ,ge
こ,ko
ご,go
さ,sa
ざ,za
し,si
じ,zi
す,su
ず,zu
せ,se
ぜ,ze
そ,so
ぞ,zo
た,ta
だ,da
ち,ti
ぢ,di
つ,tu
づ,du
て,te
で,de
と,to
ど,do
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ば,ba
ぱ,pa
ひ,hi
び,bi
ぴ,pi
ふ,hu
ぶ,bu
ぷ,pu
へ,he
べ,be
ぺ,pe
ほ,ho
ぼ,bo
ぽ,po
ま,ma
み,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
ゐ,wi
ゑ,we
を,wo
ん,n
